,user_id,post_lemmatized,likes,comments,reposts
0,ali-wodan,кстати говоря подкаст мираж доступный соцсеть вконтакте разобраться туда прикрутить,1,0,0
1,ali-wodan,хэй честной народ искать векторный иллюстратор проект возможный длительный сотрудничество итогу удаленно уровень иллюстрация плохой пример репост пожалуйстаести уметь рисовать написать личка,6,0,0
2,ali-wodan,новый пост подкаст миражи платформахть аудио инстаграме патреоне звуки музыка картинкиаудиоцитат фильм формула любви марк захарова,1,0,0
3,ali-wodan,подкаст миражи эпизод ошибка невозвратный затрат,2,0,0
4,ali-wodan,новый эпизод эффект икеа платформа,1,0,0
5,ali-wodan,редкий случай считать правильный распространять призыв проявить активный позиция вмешаться политический жизнь государства подсказывает поправка пройдут творчество просветительство оказаться угроза снг конкретно идти речь подробно описать сергей попов видео,0,0,0
6,ali-wodan,новый эпизод подкаст узнать теория рациональный выбор используют мешать рациональный почему,0,0,0
7,ali-wodan,новый эпизод платформа,0,0,0
8,ali-wodan,снова искать классный коллега команда нужны уверенный мидло продакт дизайнер основный линейка продукт работы маркетингмать работы хороший скил юай юикс райтер привести порядок всё интерфейсный тексты нужный английский прекрасный русский опыт работа способность глубоко разбираться технический деталь переводить айтишный человеческий условие всё классноподробности вилка зп подробный условие телеграм почта,0,0,0
9,ali-wodan,оп оп новый движ пока нигде скоро везде ссылка чудо чудной послушать насыпать фидбэка какать радуга,2,0,0
10,ali-wodan,новый эпизод подкаст говорить парапланеризм совмещаться работа айти,0,0,0
11,ali-wodan,заказчик сколько нужно время дизайн проектадизайнер около недельзаказчик днядизайнер давать попробовать объяснить понятнее,7,0,0
12,ali-wodan,граждане сеньор дизайнер нашли большой спасибо откликнулся добро крутой коллега,2,0,0
13,ali-wodan,привет мидло команда нашел спасибо откликнуться новый вакансия такий темп эйчар стать кек ести вкратце нужный крутой диз заняться ещё проект компании нужный самостоятельный смочь время собрать команда выстраивать процессы проект тратить время смочь курировать немножк откликнись герой интересный продукт крутой коллега хороший оплата чеканный монета ждать подробность откликаться хороший сюда,4,0,0
14,ali-wodan,классный коллега команда делатьредизайн развитие отдельный продукт промо сайт продукт сложный веб приложение сопровождениеили веб приложение нуль основа дизайн системыразработка поддержка кроссплатформенный дизайн системымаркетинговый задачи лэндинги письма оптимизация конверсия сайтовконтроль качество ожидаемопыт разработка интерфейс студия продуктовый компания летминимум живой проект ваш дизайн сети минимум сложныйумение желание вникать разбираться умение думать основной инструмент возможный время перейти фигма точно умение работать понадобиться предлагаембелый заработный платакомфортный офис москва минута ходьба тульскаяспортзал настольный теннис занятие тренером группа английский китайский язык офисесовременный удобный рабочий место мощный маки хороший мониторыдмс испытательный срок вопрос отклик писать почта телеграм,8,0,0
15,ikotow,профессия менеджер проект рассказывать часами поработать позиция разный компания взаимодействовать человек точка зрение подчинённого руководителя заказчик исполнителя хотеться поделиться мысль обменяться видение профессия её восприятие людьми,1,1,0
16,ikotow,продолжение предыдущий статья публиковать размышление цифровой зрелость компания гибкий разработку,3,0,0
17,ikotow,написать день статья технократия работать процесс изменений залетать почитать,3,0,0
18,ikotow,запретный плод сладок удивлюсь посещаемость выросла зато соцсеть ещё большой крайний мера айтишник точно знают сюда попасть,2,0,0
19,groshev-andrew,каждый заказчик идти индивидуальный путь развития каждый запросы возможности план стратегия работы каждый важно получать индивидуальный решение запрос любой сложностиюпитер находить ответ поставить вопрос лет разрабатывать внедрять самый современный решение база передовой технология ведущий производителей юпитер интегратор новый поколения означает использовать шаблон работе индивидуальный подход каждый проекту самый актуальный решения соответствовать цель задача ваш бизнесадрузья юпитер социальный сетях подписываться аккаунт готовый помочь найти ответ ваш вопрось помните будущее технологиями несколько шаг опережать потребность бизнес ваш компании,0,0,0
20,groshev-andrew,коллега слышать минимум неделя,0,0,0
21,groshev-andrew,уважаемый коллеги начинать новый проект структура группа компания ракурс компания ракурс основать году являться ведущий компания российский рынок промышленный автоматизации задача реализация потенциал информационный технология повышение эффективность работа предприятий обеспечение информационный безопасность построение надежной производительный ресурсосберегающий инфраструктура решение задача цифровой трансформациить рад взаимодействие идея предложение сотрудничество область реализация подобный род проектов граница сотрудничество охватывать область новый технологий маркетинга партнерства продаж закупок управление проект включать совместный работа многий направлениям звоните писать приходить гости,2,0,0
22,groshev-andrew,стать больший сын стать большой дочьсчастливый родитель посвящается,0,0,0
23,groshev-andrew,коллеги данный момент время подходить конец проект привлечен рассматривать предложение работеимя релевантный опыт работа продажа развитие бизнеса опыт операционный управление коммерческий подразделениями создание отдел продажа нуля надёжный энергичный партнёр структурировать подходом высокий энергия самоотдачей способный принимать стандартный решения обладать широкий компетенция переговоры первый лицами логика построение бп доведение начать цель логический завершения,2,0,0
24,groshev-andrew,искать человек уникальный позиция назвать скажем технический евангелист аналитик рынок иб позиция вендора важный бэкграунд хороший иб понимание трендов энтузиазм план изучение новый технологий анализ всякий интересный кейсов вирус атак также ключевой способность переводить технический человеческий язык клиент бизнес понимали почему иб важно нужно английский контакт связь рекомендация,0,0,0
25,groshev-andrew,друзья работе генеральныйкоммерческий директор развитие новый направление крупный компания руководство разработка продажа система видеонаблюдение аналитики сто крупный холдинг опыт работа транзакционный бизнесе консультантыстарший консультантыменеджер директор продажа госсектор крупный вендор директор продажа инженерный решение крупный российский системный интегратор фонд крупный розничный сеть директор продажа казахстан крупный вендора директор продажа грузия крупный вендоракраткий требование позиция найти профиле претендовать вышеперечисленный ролей высылать резюме соответствовать требование позиция сразу связаться ести сохранить появление интересный возможность незамедлительно оповестить нихтакж рада ваш рекомендация репостамотличный настроения,0,0,0
26,spasatos,смотрите красотаэтый студент сделать подборка классный книжек нечего почитать интересный скучный учебник маркетингу,0,0,0
27,spasatos,рассказать издание почему оператор связь повышать цена интернет помешать,0,0,0
28,spasatos,получила значок навык оптимизация поисковый система хотеть следующим пройти тест проверка навык,0,0,0
29,%D0%B0%D1%80%D1%82%D1%91%D0%BC-%D1%81%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE-526433232,дописать статью,0,0,0
